MatID,Quantity,Purchase_Date,Supplier ID,Unit Cost
BYC104,187,2/9/06,Supplier F,10.53
TWD40,147,2/11/06,Supplier H,16.83
TWD40,163,2/11/06,Supplier H,16.29
TSC20,99,2/12/06,Supplier B,7.82
LGR10,132,2/13/06,Supplier B,4.07
NTCS30,25,2/13/06,Supplier B,30
NTDP75,125,2/13/06,Supplier D,3.2
TMM40,73,2/13/06,Supplier B,56.28
MZL50,74,2/14/06,Supplier F,24.7
TCC17,81,2/14/06,Supplier B,7.24
TMM40,67,2/14/06,Supplier A,55.35
PEN320,126,2/15/06,Supplier A,8.56
TFC48,102,2/15/06,Supplier B,30.45
TWD40,60,2/15/06,Supplier D,16.5
CBX12,39,2/16/06,Supplier C,6.57
DATM10,22,2/18/06,Supplier A,14.35
NTCS30,45,2/18/06,Supplier H,31
PEN237,136,2/18/06,Supplier C,6.24
HYB50,60,2/19/06,Supplier C,15.47
PEN320,196,2/19/06,Supplier B,9.45
NTCS30,58,2/20/06,Supplier H,32.6
CBX12,39,2/21/06,Supplier C,7
HPS40,35,2/22/06,Supplier D,15.05
TFC48,60,2/22/06,Supplier E,27.4
TMM40,101,2/22/06,Supplier B,55.25
NTC34,300,2/23/06,Supplier A,34
TCC17,112,2/24/06,Supplier B,7.14
TMM40,33,2/24/06,Supplier B,56.4
HPS40,17,2/26/06,Supplier C,14.9
HYB50,38,2/26/06,Supplier C,14.83
NTCS30,64,2/26/06,Supplier H,32.53
TCC17,40,2/26/06,Supplier B,7
PLAS30,32,2/27/06,Supplier D,9.24
PEN237,112,2/28/06,Supplier C,6.18
NTC34,177,3/1/06,Supplier A,37.88
TMM40,140,3/1/06,Supplier B,55.75
GT151,193,3/4/06,Supplier C,0.9
NTCDA10,42,3/4/06,Supplier G,21.77
TSS90,195,3/4/06,Supplier C,13.86
HYB50,40,3/5/06,Supplier C,16
NTC34,161,3/5/06,Supplier A,35.05
NTCDA10,74,3/5/06,supplierA,20.71
CBX12,56,3/6/06,Supplier C,7.35
PEN320,127,3/6/06,Supplier A,8.67
PLAS30,41,3/6/06,Supplier D,9.73
PLAS30,47,3/6/06,Supplier H,9.25
TCC17,174,3/6/06,Supplier B,10.19
TSC20,18,3/6/06,Supplier B,7.81
NTCDA10,28,3/7/06,Supplier G,20.99
TR80,76,3/8/06,Supplier H,15.5
CBX12,41,3/9/06,Supplier B,7.23
PLAS30,43,3/9/06,Supplier H,9.57
NTC34,137,3/10/06,Supplier A,36.34
TCC17,199,3/10/06,Supplier F,10.54
TG120,110,3/10/06,Supplier F,31.1
HYB50,48,3/11/06,Supplier C,14.75
NTC34,100,3/11/06,Supplier A,34
TWD40,86,3/11/06,Supplier H,17.31
TSC20,72,3/12/06,Supplier D,7.16
CBX12,25,3/13/06,Supplier B,7
HPS40,40,3/13/06,Supplier C,16
NTC34,175,3/14/06,Supplier B,38.19
RUBBER_RG1,68,3/14/06,Supplier H,9.16
PEN320,133,3/15/06,Supplier B,9.28
GT151,139,3/16/06,Supplier F,0.93
PLAS30,15,3/16/06,Supplier D,9.57
TCC17,176,3/17/06,Supplier F,10.57
NTDP75,187,3/18/06,Supplier D,2.99
HYB50,100,3/19/06,Supplier F,14.81
NTDA40,127,3/19/06,Supplier E,39.55
TSS90,77,3/20/06,Supplier C,15.17
TWD40,123,3/20/06,Supplier D,16.41
NTCM123,184,3/21/06,Supplier G,13.52
PLAS30,44,3/21/06,Supplier D,9.05
TMM40,149,3/21/06,Supplier B,56.16
TMRD40,65,3/21/06,Supplier C,9.11
HYB50,69,3/22/06,Supplier C,14.87
NTCDA10,88,3/22/06,Supplier B,21.33
PLAS30,12,3/23/06,Supplier F,8.53
TOO17,66,3/23/06,Supplier A,15.59
TFC48,30,3/24/06,Supplier E,30.28
TCC17,148,3/27/06,Supplier F,11
LGR10,147,3/28/06,Supplier B,4.45
PEN237,120,3/30/06,Supplier B,6.32
PEN237,104,3/31/06,Supplier E,6.73
GT151,242,4/1/06,Supplier C,0.99
HYB50,68,4/1/06,Supplier F,14.79
TMM40,69,4/1/06,Supplier B,57.3
HPS40,86,4/2/06,Supplier C,15.23
TG120,147,4/2/06,Supplier D,30.12
CBX12,23,4/3/06,Supplier B,7.06
TMM40,148,4/3/06,Supplier A,56.19
TSS90,67,4/3/06,Supplier C,14.76
TWD40,55,4/3/06,Supplier A,16.88
TWD40,147,4/5/06,Supplier H,16.52
NTC34,161,4/6/06,Supplier B,36.76
PEN320,78,4/7/06,Supplier A,8.74
TG120,115,4/7/06,Supplier D,30.08
TR80,80,4/7/06,Supplier E,15
NTCDA10,33,4/8/06,supplierA,21.31
NTCM123,243,4/8/06,Supplier G,13.55
NTDA40,46,4/8/06,Supplier E,40.71
TSS90,80,4/8/06,Supplier C,13
BYC104,103,4/9/06,Supplier F,11.38
NTDA40,41,4/9/06,Supplier B,39.01
NTC34,251,4/10/06,Supplier A,35.1
TMRD40,112,4/10/06,Supplier B,8.7
NTCS30,15,4/11/06,Supplier H,32.26
PEN237,152,4/11/06,Supplier C,6.24
TG120,171,4/12/06,Supplier D,28.29
STC50,149,4/14/06,Supplier E,7.89
TWD40,136,4/14/06,Supplier D,16.95
DATM10,75,4/15/06,Supplier F,13.84
NTCM123,120,4/16/06,Supplier B,14
NTDA40,40,4/16/06,Supplier B,39
TMM40,40,4/16/06,Supplier B,61
PLAS30,17,4/20/06,Supplier D,8.31
TCC17,200,4/20/06,Supplier B,7
BYC104,100,4/21/06,Supplier B,10
DATM10,93,4/21/06,Supplier H,13.62
NTCM123,201,4/21/06,Supplier B,13.15
TG120,147,4/21/06,Supplier F,29.16
TWD40,115,4/21/06,Supplier D,16.41
TMM40,125,4/22/06,Supplier B,55.29
PEN320,176,4/23/06,Supplier B,9.1
CBX12,20,4/24/06,Supplier B,7
TSC20,18,4/24/06,Supplier D,7.41
DATM10,71,4/26/06,Supplier A,13.95
TSS90,179,4/26/06,Supplier C,13.06
HYB50,92,4/30/06,Supplier F,15.6
NTCDA10,40,4/30/06,Supplier B,22
PEN320,184,5/1/06,Supplier B,8.59
TCC17,93,5/1/06,Supplier B,8.22
TWD40,108,5/1/06,Supplier D,16.45
PEN237,144,5/2/06,Supplier E,6.46
TSS90,176,5/2/06,Supplier C,13.66
NTC34,197,5/3/06,Supplier A,36.97
NTDA40,40,5/3/06,Supplier B,40
NTDA40,86,5/4/06,Supplier E,40.45
TMRD40,200,5/5/06,Supplier B,8.59
NTCM123,166,5/6/06,Supplier G,13.21
PEN320,87,5/6/06,Supplier A,9.18
TCC17,158,5/6/06,Supplier F,9.92
DATM10,1,5/8/06,Supplier H,13.5
PEN320,146,5/10/06,Supplier A,8.88
PEN320,107,5/10/06,Supplier A,9.01
TG120,130,5/10/06,Supplier F,29.42
TSC20,20,5/10/06,Supplier B,8
TWD40,136,5/10/06,Supplier A,17.38
TOO17,73,5/11/06,Supplier A,16.06
GT151,138,5/12/06,Supplier A,1.21
PEN320,159,5/12/06,Supplier B,8.93
TMM40,40,5/12/06,Supplier B,60
STC50,86,5/13/06,Supplier E,7.23
NTCS30,18,5/14/06,Supplier B,30.92
TWD40,177,5/14/06,Supplier A,16.03
TG120,166,5/15/06,Supplier F,29.33
STC50,123,5/16/06,Supplier E,7.94
LGR10,170,5/17/06,Supplier B,4.27
NTCS30,40,5/17/06,Supplier B,30
PLAS30,31,5/17/06,Supplier F,8.98
TOO17,45,5/17/06,Supplier A,15.37
NTCS30,47,5/19/06,Supplier H,30.59
HYB50,50,5/20/06,Supplier C,15.62
NTC34,126,5/20/06,Supplier B,34.54
NTDP75,156,5/20/06,Supplier D,2.91
PEN320,125,5/20/06,Supplier B,9.11
TR80,100,5/20/06,Supplier E,15
CBX12,10,5/21/06,Supplier B,7
NTC34,258,5/21/06,Supplier A,37.1
NTCM123,194,5/21/06,Supplier B,13.4
PEN320,190,5/21/06,Supplier B,8.73
CBX12,15,5/22/06,Supplier C,6.76
TG120,153,5/22/06,Supplier D,28.04
TSC20,44,5/22/06,Supplier D,7.89
TOO17,41,5/23/06,Supplier A,15.66
TOO17,58,5/23/06,Supplier A,15.1
PEN237,96,5/24/06,Supplier C,6.56
PEN237,88,5/25/06,Supplier D,6.07
MZL50,137,5/26/06,Supplier F,24.9
PLAS30,42,5/26/06,Supplier H,8.53
TWD40,139,5/26/06,Supplier H,16.41
TOO17,42,5/27/06,Supplier A,15.96
TR80,186,5/27/06,Supplier H,15.24
TSS90,181,5/28/06,Supplier C,14.21
NTCM123,203,5/29/06,Supplier G,13.04
NTCDA10,94,5/30/06,Supplier B,21.52
TOO17,98,5/30/06,Supplier C,15.29
TG120,133,5/31/06,Supplier D,30.28
PLAS30,10,6/1/06,Supplier F,9
LGR10,155,6/2/06,Supplier B,4.88
STC50,149,6/2/06,Supplier C,7.82
PEN320,145,6/3/06,Supplier B,9.42
TMRD40,59,6/3/06,Supplier C,8.85
NTCDA10,24,6/4/06,Supplier B,21.07
NTDA40,131,6/4/06,Supplier B,39.21
TSS90,186,6/4/06,Supplier B,13.03
TWD40,40,6/4/06,Supplier B,17
NTCDA10,76,6/5/06,Supplier G,20.32
NTCS30,67,6/5/06,Supplier H,30.36
LGR10,194,6/6/06,Supplier E,4.1
STC50,131,6/6/06,Supplier E,7.39
TG120,171,6/6/06,Supplier F,28.48
HYB50,80,6/7/06,Supplier D,15.07
MZL50,99,6/7/06,Supplier E,24
CBX12,30,6/8/06,Supplier B,7
NTDP75,92,6/8/06,Supplier D,3.5
BYC104,115,6/9/06,Supplier B,11.35
TG120,166,6/9/06,Supplier F,29.68
TMRD40,112,6/9/06,Supplier B,8.97
TOO17,31,6/11/06,Supplier C,15.26
TSS90,112,6/11/06,Supplier C,14.13
TCC17,149,6/12/06,Supplier F,9.47
TCC17,91,6/12/06,Supplier F,8.22
TG120,184,6/14/06,Supplier D,28.43
TSS90,127,6/14/06,Supplier C,14.96
TWD40,121,6/14/06,Supplier A,17.49
TFC48,100,6/15/06,Supplier B,27.5
TG120,173,6/15/06,Supplier F,29.46
PEN320,87,6/16/06,Supplier A,9.15
HPS40,20,6/17/06,Supplier D,14.63
NTDA40,77,6/17/06,Supplier E,39.95
TSS90,147,6/17/06,Supplier C,14.5
BYC104,105,6/18/06,Supplier H,11.26
PEN320,133,6/18/06,Supplier A,9.38
PEN237,128,6/20/06,Supplier D,6.3
TCC17,50,6/21/06,Supplier B,7
HPS40,94,6/22/06,Supplier D,15.4
LGR10,100,6/22/06,Supplier E,5
TFC48,128,6/23/06,Supplier E,29.67
STC50,89,6/24/06,Supplier C,7.61
TWD40,114,6/24/06,Supplier A,16.06
TMRD40,186,6/25/06,Supplier C,8.97
BYC104,137,6/26/06,Supplier F,11.11
GT151,111,6/26/06,Supplier A,0.93
TG120,135,6/26/06,Supplier F,29.78
BYC104,80,6/27/06,Supplier H,11.34
NTCM123,120,6/28/06,Supplier G,13
NTCS30,52,6/28/06,Supplier B,30.21
TMM40,148,6/28/06,Supplier B,55.45
TMRD40,52,6/28/06,Supplier C,8.59
TR80,77,6/28/06,Supplier H,15.58
NTCM123,229,6/29/06,Supplier B,13.74
TSS90,120,6/29/06,Supplier B,14.89
DATM10,90,6/30/06,Supplier F,14.24
RUBBER_RG1,94,7/1/06,Supplier B,20.57
NTCS30,51,7/2/06,Supplier B,35.69
NTDA40,124,7/2/06,Supplier B,44.02
NTDP75,168,7/2/06,Supplier D,3.82
PEN237,29,7/2/06,Supplier E,7.89
PEN320,149,7/2/06,Supplier A,10.47
TWD40,176,7/2/06,Supplier H,19.46
TR80,62,7/3/06,Supplier H,16.95
CBX12,16,7/4/06,Supplier B,8
RUBBER_RG1,78,7/4/06,Supplier H,20.32
TMRD40,92,7/4/06,Supplier C,9.35
GT151,112,7/5/06,Supplier C,1.38
HYB50,79,7/5/06,Supplier C,17.21
PEN320,177,7/5/06,Supplier B,10.23
TCC17,109,7/5/06,Supplier F,12.45
TMM40,45,7/5/06,Supplier A,69.89
NTCDA10,54,7/6/06,Supplier B,22.97
TOO17,31,7/6/06,Supplier C,16.91
NTDA40,58,7/7/06,Supplier E,42.22
TG120,164,7/7/06,Supplier F,33.37
TSS90,60,7/7/06,Supplier B,16.9
PEN237,43,7/8/06,Supplier C,8.32
PLAS30,10,7/8/06,Supplier H,10.58
STC50,50,7/8/06,Supplier E,9.59
TSC20,18,7/8/06,Supplier D,8.14
CBX12,64,7/9/06,Supplier B,7.88
NTCDA10,46,7/9/06,supplierA,22.88
PEN237,80,7/10/06,Supplier B,8.42
TFC48,74,7/10/06,Supplier B,33.37
PEN237,30,7/11/06,Supplier C,8.88
GT151,65,7/13/06,Supplier C,1.69
GT151,62,7/14/06,Supplier D,1.4
MZL50,40,7/14/06,Supplier F,26
NTC34,255,7/14/06,Supplier A,38.98
HYB50,71,7/15/06,Supplier F,17.3
TWD40,91,7/15/06,Supplier H,19.95
MZL50,50,7/16/06,Supplier F,26
TSS90,155,7/16/06,Supplier B,15.97
DATM10,24,7/17/06,Supplier A,14.89
PEN237,89,7/17/06,Supplier C,7.37
PEN237,47,7/17/06,Supplier D,7.68
TWD40,139,7/17/06,Supplier A,19.94
GT151,150,7/18/06,Supplier C,1.42
STC50,110,7/18/06,Supplier E,9.79
TOO17,99,7/18/06,Supplier A,17.08
TWD40,77,7/18/06,Supplier D,19.6
BYC104,112,7/19/06,Supplier H,11.76
RUBBER_RG1,105,7/19/06,Supplier B,20.51
TOO17,95,7/19/06,Supplier C,17.1
TMM40,119,7/20/06,Supplier B,63.6
TG120,134,7/21/06,Supplier D,33.66
DATM10,45,7/22/06,Supplier H,14.75
PEN237,81,7/22/06,Supplier C,7.24
GT151,40,7/23/06,Supplier C,2.09
PEN320,78,7/23/06,Supplier A,10
DATM10,40,7/24/06,Supplier A,15
GT151,41,7/24/06,Supplier C,1.98
TSC20,78,7/24/06,Supplier D,8.82
GT151,184,7/27/06,Supplier D,2.3
PEN320,193,7/27/06,Supplier A,10.13
TSS90,56,7/27/06,Supplier B,15.98
TSS90,156,7/27/06,Supplier B,16
NTC34,103,7/28/06,Supplier A,42.41
PEN237,25,7/28/06,Supplier C,8.15
NTCS30,65,7/29/06,Supplier H,33.57
PLAS30,15,7/30/06,Supplier H,10.89
NTC34,285,8/1/06,Supplier B,41.27
TOO17,68,8/2/06,Supplier C,16.71
NTCM123,145,8/3/06,Supplier G,15.48
NTCS30,60,8/3/06,Supplier B,35.02
RUBBER_RG1,62,8/3/06,Supplier H,22.12
PEN237,45,8/4/06,Supplier C,7.9
RUBBER_RG1,101,8/4/06,Supplier B,22.65
DATM10,64,8/5/06,Supplier F,15.3
GT151,72,8/5/06,Supplier C,1.45
NTC34,109,8/5/06,Supplier A,41.4
TG120,177,8/5/06,Supplier F,33.65
LGR10,224,8/6/06,Supplier B,5.65
TMRD40,97,8/6/06,Supplier C,9.28
MZL50,142,8/7/06,Supplier F,26.11
NTDA40,62,8/7/06,Supplier B,44.33
RUBBER_RG1,87,8/8/06,Supplier H,18.32
BYC104,165,8/9/06,Supplier B,12.85
TSC20,35,8/9/06,Supplier B,8.64
TWD40,168,8/9/06,Supplier A,17.83
CBX12,46,8/10/06,Supplier B,7.79
NTCM123,168,8/10/06,Supplier B,15.41
NTDA40,107,8/10/06,Supplier B,42.45
TMRD40,60,8/10/06,Supplier B,10
GT151,147,8/12/06,Supplier D,2.25
MZL50,40,8/12/06,Supplier E,26
PEN237,20,8/12/06,Supplier B,7.76
NTDA40,98,8/13/06,Supplier E,43.82
NTCDA10,41,8/14/06,Supplier G,23.09
NTCS30,68,8/14/06,Supplier B,34.72
NTDA40,31,8/14/06,Supplier E,41.51
RUBBER_RG1,79,8/14/06,Supplier H,17.51
PEN237,32,8/15/06,Supplier D,7.58
TWD40,81,8/15/06,Supplier H,19.84
TWD40,53,8/15/06,Supplier D,18.57
HYB50,36,8/16/06,Supplier C,16.54
PEN237,29,8/16/06,Supplier D,8.2
GT151,53,8/17/06,Supplier D,2.16
PEN237,95,8/18/06,Supplier C,7.2
RUBBER_RG1,10,8/18/06,Supplier H,20.46
PEN237,35,8/20/06,Supplier C,8.28
PLAS30,37,8/21/06,Supplier D,10.19
LGR10,131,8/22/06,Supplier B,6.04
RUBBER_RG1,62,8/22/06,Supplier H,19.33
CBX12,13,8/23/06,Supplier C,8.34
LGR10,212,8/23/06,Supplier B,5.25
RUBBER_RG1,107,8/23/06,Supplier H,18.14
TG120,172,8/23/06,Supplier D,33.39
NTC34,152,8/25/06,Supplier A,39.35
NTCDA10,92,8/25/06,supplierA,23.53
NTCM123,172,8/25/06,Supplier G,15.72
NTCS30,13,8/26/06,Supplier H,36.38
PLAS30,50,8/27/06,Supplier H,10.18
RUBBER_RG1,63,8/27/06,Supplier B,18.08
TR80,119,8/27/06,Supplier H,16.54
NTCM123,246,8/28/06,Supplier G,14.86
RUBBER_RG1,105,8/28/06,Supplier H,20.86
NTCDA10,55,8/29/06,Supplier G,23.9
NTCM123,171,8/29/06,Supplier G,15.61
TCC17,55,8/29/06,Supplier B,13.96
PEN320,74,8/31/06,Supplier B,10.07
PEN320,173,8/31/06,Supplier B,9.79
TSS90,189,8/31/06,Supplier C,16.69
TWD40,120,9/1/06,Supplier H,18.81
MZL50,137,9/2/06,Supplier F,26.05
TSC20,56,9/2/06,Supplier B,8.12
PEN320,140,9/3/06,Supplier A,9.85
RUBBER_RG1,76,9/3/06,Supplier B,18.36
GT151,200,9/4/06,Supplier A,2
PEN237,24,9/4/06,Supplier D,8.46
RUBBER_RG1,66,9/5/06,Supplier B,17.27
DATM10,79,9/6/06,Supplier H,15.14
HYB50,33,9/6/06,Supplier C,17.07
TOO17,71,9/7/06,Supplier A,17.02
NTCDA10,46,9/8/06,Supplier G,22.64
NTCDA10,86,9/8/06,supplierA,22.43
NTCM123,220,9/8/06,Supplier B,14.83
PEN320,122,9/8/06,Supplier A,9.65
PEN320,170,9/8/06,Supplier A,10.36
RUBBER_RG1,77,9/9/06,Supplier B,17.13
CBX12,36,9/10/06,Supplier B,8.05
NTCS30,63,9/10/06,Supplier B,33.79
CBX12,12,9/11/06,Supplier C,8.03
PEN320,183,9/11/06,Supplier B,10.46
NTCDA10,95,9/12/06,Supplier G,23.3
CBX12,62,9/13/06,Supplier B,7.54
NTDA40,87,9/13/06,Supplier E,44.1
TR80,143,9/13/06,Supplier H,16.6
GT151,129,9/14/06,Supplier C,1.39
TOO17,12,9/14/06,Supplier A,16.12
BYC104,115,9/15/06,Supplier H,12.42
STC50,60,9/15/06,Supplier E,9.42
TOO17,78,9/15/06,Supplier C,17.37
PEN237,37,9/16/06,Supplier E,7.6
RUBBER_RG1,70,9/16/06,Supplier H,19.74
TFC48,58,9/16/06,Supplier B,30.81
TSC20,46,9/16/06,Supplier B,8.15
NTCS30,38,9/18/06,Supplier H,34.05
PEN237,35,9/18/06,Supplier B,7.92
CBX12,30,9/19/06,Supplier C,7.75
NTDP75,165,9/19/06,Supplier D,3.81
TOO17,26,9/19/06,Supplier A,16.65
CBX12,64,9/20/06,Supplier B,8.45
NTCDA10,41,9/20/06,supplierA,23.52
PEN320,135,9/20/06,Supplier A,10.28
TMM40,84,9/20/06,Supplier A,64.07
TWD40,69,9/20/06,Supplier D,19.21
BYC104,135,9/22/06,Supplier B,12.06
MZL50,105,9/22/06,Supplier E,26.61
TR80,116,9/23/06,Supplier H,16.45
RUBBER_RG1,106,9/24/06,Supplier B,18.85
TWD40,94,9/25/06,Supplier D,19.17
PEN237,79,9/26/06,Supplier B,7.47
PEN320,144,9/26/06,Supplier A,9.9
TSC20,78,9/26/06,Supplier D,8.74
TFC48,142,9/27/06,Supplier E,34.45
NTC34,166,9/28/06,Supplier A,38.58
STC50,78,9/28/06,Supplier C,9.23
TMRD40,168,9/28/06,Supplier C,9.79
TWD40,50,9/28/06,Supplier D,19.66
GT151,238,9/29/06,Supplier F,1.44
NTCDA10,35,9/29/06,Supplier B,24.24
TMRD40,64,9/29/06,Supplier C,9.52
NTDA40,140,9/30/06,Supplier E,44.41
TOO17,42,9/30/06,Supplier A,17.3
TWD40,52,9/30/06,Supplier H,19.46
NTCS30,17,10/2/06,Supplier B,34.11
NTCS30,22,10/3/06,Supplier H,34.2
GT151,241,10/4/06,Supplier C,2.27
MZL50,94,10/5/06,Supplier F,25.62
TFC48,122,10/5/06,Supplier B,32.68
TSS90,170,10/5/06,Supplier B,16.95
HYB50,38,10/6/06,Supplier F,16.9
NTC34,238,10/7/06,Supplier B,40.07
NTCDA10,62,10/7/06,Supplier B,22.68
STC50,85,10/7/06,Supplier C,9.43
BYC104,164,10/8/06,Supplier B,12.74
STC50,93,10/9/06,Supplier E,8.59
TR80,53,10/9/06,Supplier H,17.21
NTCM123,234,10/10/06,Supplier G,15.7
TMRD40,128,10/10/06,Supplier C,9.93
TWD40,66,10/10/06,Supplier D,19.22
NTC34,143,10/11/06,Supplier B,40.82
NTDP75,96,10/11/06,Supplier D,3.53
STC50,65,10/11/06,Supplier C,9.06
NTDA40,99,10/13/06,Supplier E,41.55
TCC17,74,10/13/06,Supplier F,13.67
TR80,192,10/13/06,Supplier H,17.04
NTCM123,114,10/14/06,Supplier B,14.56
NTDA40,108,10/14/06,Supplier E,42.46
NTDA40,94,10/14/06,Supplier E,43.59
CBX12,58,10/15/06,Supplier C,7.71
HPS40,15,10/15/06,Supplier D,16.03
NTDP75,110,10/15/06,Supplier D,3.6
HYB50,31,10/16/06,Supplier F,17.36
TMRD40,126,10/17/06,Supplier C,9.39
TWD40,91,10/17/06,Supplier A,17.92
DATM10,40,10/18/06,Supplier A,16
TR80,112,10/18/06,Supplier H,16.23
NTDA40,125,10/20/06,Supplier B,44.31
TSC20,21,10/20/06,Supplier D,8.13
DATM10,62,10/21/06,Supplier H,14.98
NTDP75,69,10/22/06,Supplier D,3.64
PEN237,74,10/22/06,Supplier B,7.27
GT151,184,10/23/06,Supplier D,2.43
MZL50,78,10/23/06,Supplier F,26.32
PLAS30,48,10/23/06,Supplier F,9.79
GT151,125,10/24/06,Supplier A,2
NTCS30,39,10/24/06,Supplier H,36.42
PEN320,144,10/27/06,Supplier B,10.42
BYC104,120,10/28/06,Supplier F,11.84
PEN320,60,10/28/06,Supplier A,9.77
TR80,116,10/28/06,Supplier H,16.11
NTDA40,43,10/29/06,Supplier E,43.17
TFC48,93,10/30/06,Supplier E,33.09
PEN237,42,10/31/06,Supplier C,8.08
NTDA40,98,11/1/06,Supplier E,42.25
TR80,81,11/1/06,Supplier H,17.1
NTCDA10,93,11/2/06,supplierA,22.78
TFC48,119,11/2/06,Supplier E,30.9
DATM10,31,11/3/06,Supplier F,15.73
TOO17,59,11/3/06,Supplier C,16.25
NTCDA10,59,11/4/06,supplierA,22.78
NTCS30,15,11/4/06,Supplier B,35.31
STC50,91,11/4/06,Supplier E,9.95
NTCM123,250,11/5/06,Supplier G,15.29
TCC17,200,11/5/06,Supplier F,12.33
NTCDA10,47,11/6/06,supplierA,22.95
TG120,135,11/6/06,Supplier D,32.42
TOO17,22,11/6/06,Supplier A,17.29
TWD40,63,11/6/06,Supplier D,17.93
NTDP75,119,11/8/06,Supplier D,4
PEN237,96,11/8/06,Supplier D,7.46
RUBBER_RG1,108,11/8/06,Supplier B,21.13
GT151,192,11/9/06,Supplier D,1.44
HPS40,16,11/11/06,Supplier D,16.59
NTCS30,28,11/11/06,Supplier H,34.59
TR80,114,11/11/06,Supplier H,16.74
STC50,53,11/12/06,Supplier C,9.67
TWD40,155,11/12/06,Supplier A,19.2
GT151,40,11/13/06,Supplier D,1.56
HYB50,65,11/13/06,Supplier D,17.33
MZL50,70,11/13/06,Supplier E,25.86
NTCS30,44,11/13/06,Supplier H,33.07
PEN237,63,11/13/06,Supplier E,7.5
PEN237,20,11/13/06,Supplier E,7.58
TFC48,126,11/13/06,Supplier B,32.38
BYC104,150,11/16/06,Supplier H,12.64
NTCDA10,22,11/16/06,Supplier G,22.93
PEN237,89,11/16/06,Supplier E,7.24
PEN320,66,11/16/06,Supplier B,9.79
PEN237,15,11/17/06,Supplier C,8.39
NTCM123,103,11/18/06,Supplier B,15.48
TG120,148,11/18/06,Supplier D,31.57
HYB50,28,11/20/06,Supplier C,16.31
PEN237,75,11/20/06,Supplier C,7.32
TMRD40,65,11/20/06,Supplier C,9.44
TOO17,10,11/21/06,Supplier A,16.85
